job_item_name,job_item_comapny,job_item_area,job_item_experience,job_item_degree,job_item_salary,job_item_description
Senior Embedded Software Engineer -觸控優先,邁新科技有限公司,新北市林口區,經歷不拘,專科,"月薪100,000~190,000元","We are looking forward to building a team of Sr. and Jr. Embedded SW Engineer to execute complete embedded software development life cycle. The goal is to create scalable and optimized system solution with our MCU/DSP/ADC IP. College graduates with related field are welcome!!! We offer 14 months guaranteed pay with Health and Labour insurance. Company stocks and many more! Come and join us! Embedded Software Engineer responsibilities include: • Designing and implementing software of embedded devices and systems • Designing, developing, coding, testing and debugging system software • Analyzing and enhancing efficiency, stability and scalability of system resources Responsibilities • Design and implement software of embedded devices and systems from requirements to production and commercial deployment • Design, develop, code, test and debug system software • Review code and design • Analyze and enhance efficiency, stability and scalability of system resources • Integrate and validate new product designs • Support software QA and optimize I/O performance • Provide post production support • Interface with hardware design and development • Assess third party and open source software Requirements • Proven working experience in software engineering • BS degree in Computer Science or Engineering • Experience in hands-on development and troubleshooting on embedded targets • Solid programming experience in C or C++ • Proven experience in embedded systems design with preemptive, multitasking real-time operating systems • Familiarity with software configuration management tools, defect tracking tools, and peer review • Excellent knowledge of OS coding techniques, IP protocols, interfaces and hardware subsystems • Adequate knowledge of reading schematics and data sheets for components • Strong documentation, writing and communication skills"
資深程式設計師(保障年薪),奇美集團_新視代科技股份有限公司,新北市中和區,6年以上,大學,"月薪100,000~190,000元",1.應用系統開發設計、維護 2.MS SQL Server資料庫規劃、設計 3.系統作業流程優化分析
Senior HQA Software Engineer,新加坡商惠爾訊科技股份有限公司台灣分公司(VeriFone Systems Pte Ltd Taiwan Branch),台北市南港區,4年以上,大學,"月薪100,000~190,000元","Why Verifone For more than 30 years VeriFone has established a remarkable record of leadership in the electronic payment technology industry. VeriFone has one of the leading electronic payment solutions brands and is one of the largest providers of electronic payment systems worldwide. VeriFone has a diverse, dynamic, and fast-paced work environment in which employees are focused on results and have opportunities to excel. We take pride in the fact that we work with the best and brightest in our industry around the globe. Our competitive fierceness is fed by our passion for excellence in our products and services, and our obsession with customer satisfaction. Across the globe, VeriFone employees are leading the payments industry through experience, innovation, and an entrepreneurial spirit. Whether it’s developing the next platform of secure payment systems or searching for new ways to bring electronic payments to new markets, the team at VeriFone is dedicated to the success of our customers, partners, and investors. It's this passion for innovation that drives each one of our employees to personal and professional success. What you'll do Position Summary: As part of the Global Quality team in the R&D organization, responsible for ensuring products design and development for the global market meet quality, performance, and system reliability specifications. Essential Duties and Responsibilities: • Design and develop system test applications in accordance with the functional requirement of the HQA test applications, typically under one of the platforms such as Android, Linux system and to simulate End-to-End system environment for test validation. • Conduct system validation tests using the system test applications developed and continue to fine-tune test applications to maximize the test coverage and approach relevant automated testing. • Design, program, simulate and test machinery and processes in order to complete exact tasks. • Develop test automation through test tools with visual function, procedures, and checklists that effectively validate the product system quality and reliability goals specified in product requirement document productive. • Develop system test plan including functional and interoperability test requirements at all levels of the system. • Develop test cases in accordance with Product and system requirements & all perceivable use cases associated with live implementations at all levels of the system. • Guide and mentor partners in the development of system test plan, test requirement, test cases & test apps development-Nice to have • Provide clear oversight and status reporting of test apps development & test plan and test case execution. What qualifications will you need to be successful? Knowledge & Experience: • BS degree in Computer Science, Software & Embedded system, Electrical/ Electronic Engineering. • Minimum 2~5 years of working experience in the design and development of test applications particularly in Android & Linux platforms. • Experience in programming or integration system testing involving Android/Linux platform products and Vision function development with EmguCV or OpenCV is preferred. Skills & Ability: • Good knowledge of C, C++, C#, Python. • Middle written/read and report generating skills. • Good team player and able to work with multiple sites. Our commitment Verifone is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. Verifone is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
運維工程師 工作地點：菲律賓,寶誠有限公司,菲律賓,1年以上,大學,"月薪100,000~190,000元",職責描述： 1.負責維護系統平台的運行，包括系統巡檢、故障排除、系統優化、資料備份等工作， 保證平台的高品質高效能運行狀態 2.負責安裝或更新系統平台的相關軟件應用程序及修補程式（patch） 3.參與專案需求分析，參與產品設計及開發測試 4.負責系統平台的技術支援 5.完成主管交代的其他工作安排 任職要求： 1、電腦資訊相關科系，一年以上工作經驗 2、熟悉Nginx、redis、MySQL、Ftp、Hadoop、ansible、docker等工具和服務的安裝、配置和維護 3、熟練掌握Windows及Linux系統的安裝、操作和維護 4、了解網路路由、交換原理及相關伺服器配置 5、具有良好溝通協調能力，具備專案管理知識 6、熱愛工作，有強烈的求知欲並具有較強的學習能力 7、具溝通能力、推動能力和較好的服務意識 *有DevOps相關實施經驗者優先 *熟悉Linux防火牆設定(iptables) *熟悉Linux命令行工具(grep、sed、awk)
D資深JAVA程式設計師,中國人壽保險股份有限公司(總公司),台北市松山區,5年以上,大學,"月薪100,000~190,000元","1.Java MVC架構, 微服務架構的應用系統開發與維護 2.與需求單位進行需求訪談、系統功能之規劃、分析及設計 3.撰寫系統規格及製作相關開發文件 4.協力廠商的系統開發進度及品質管控與二線開發支援 5.問題分析與追蹤改善"
富邦行銷/富邦保代-資深系統分析師,富邦行銷股份有限公司,台北市中正區,經歷不拘,專科,"月薪100,000~190,000元",1.專案執行。 2.基本系統分析、設計以及資料庫設計、程式撰寫、測試。 3.負責維運及問題處理。
後端工程師 NodeJs Backend Developer (JoSeal),英屬維京群島商幫你優股份有限公司台灣分公司,台北市中正區,2年以上,大學,"月薪100,000~190,000元","職務說明： JoSeal 是幫你優集團繼PaGamO後又一推出之教育創新產品,主要透過共學的理念與跨平台的裝置,協助企業完成知識的傳承教學與學習成果管理,同時也可以協助教師等人員為實體課堂產生輔助,透過雲端化的平台介面讓學生可以達到課前預習、課後練習與討論及測驗了解學習成效與講師觀察數據報表追蹤等成果。 產品網址: https://www.joseal.app/ 教育是能改變人類一輩子的事情,歡迎對教育科技有想法的你一起來加入我們。 你將會與前端夥伴、APP夥伴、QA夥伴、產品經理等,⼀同討論產品功能開發細節,徹底且全⾯地理解使⽤者的問題、你的程式碼將會如何解決使⽤者的問題、提供良好的體驗,你並非只是⼀個碼農,⽽是可以實際參與產品走向的討論,真切的影響產品的呈現。我們使⽤ Nodejs + Mongodb with GraphQL 進⾏開發,但只要你非常熟悉任何⼀款網站開發語⾔或框架,且對於學習 Nodejs 感興趣,只要有良好的⾃學能⼒,都非常歡迎來聊聊哦！ ⼯作內容： • 新功能模組開發 • 持續優化調整產品功能 • 與技術團隊共同討論技術架構 • 維持產品效能與提⾼系統穩定度 • 基礎系統維運、除錯 我們期待你: • 1 年以上後端開發工作經驗 • 熟悉 Nodejs 及任一框架( Express 或 Koa ) • 熟悉 MongoDB • 有 GCP 或其他雲端平台實務經驗 • 有 Git 或其他版本控制系統經驗 • 主動負責、細心的工作態度 • 良好溝通能力及團隊合作能力 加分項⽬： • 具有 GraphQL 的經驗 • 具有 Redis 的經驗 • 具有寫自動化測試經驗 • 具有建置自動化 CI/CD 相關經驗 • 具有 Elasticsearch 相關經驗 • 具有 Docker, Kubernetes 等 DevOps 經驗"
(院本部)網路數據分析實驗室_專案研究人員（台北）,財團法人國家實驗研究院,台北市大安區,經歷不拘,碩士,"月薪100,000~190,000元",1.資安卓越中心規劃建置計畫-網路數據分析實驗： (1)網路數據分析與資通安全相關前瞻研究 (2)新世代網路暨智慧型應用系統之規劃設計與研發 2.資安卓越中心規劃建置事宜。
前端開發工程師 Front-End Developer,智鈦星平台服務有限公司,台北市信義區,3年以上,大學,"月薪100,000~190,000元",*負責App/Web前端開發、整合等。 《工作說明》： 1. PC及移動式前端之開發工作，包括常用PC、手機瀏覽器與APP內嵌頁面等。 2. 前端架構體系之規劃、設計與後續優化。 3. 與相關職能團隊討論開發前端組件，並加以應用、創新，以利維護及優化前端頁面呈現與效能。 4. 通訊軟體外掛小程式開發。 《期望技術》： 1. 能熟練使用VUE，React前端開發框架 (若不熟React較無法上手)。 2. 精通HTML5、CSS3、JavaScript、Nodejs、React native等前端開發技術。 3. 暸解伺服器端開發語言及熟悉與原生APP交互佳。
系統軟體開發工程師,捷螺系統股份有限公司,新竹縣竹北市,經歷不拘,大學,"月薪100,000~190,000元",1. 具程式設計開發經驗. 2. 熟 C、C++、Java、Python、MySQL、 linux 佳 3.開發派車軟體，車輛繞路演算法，交通管理演算法，開發Material handling system 薪資佳.
客服專員,百加資通股份有限公司,台北市中正區,2年以上,專科,"月薪100,000~190,000元",1、客服問題處理，協助客戶問題排除與系統操作說明 2、公司產品應用說明 3、產品測試與相關文件製作 4、完成主管交辦事項 ~~歡迎具有服務精神及熱忱的您加入~~
文書處理人員,太立實業股份有限公司,台中市霧峰區,經歷不拘,大學,"月薪100,000~190,000元","主要工作內容: 1.繕打標籤等文書事務 2. 支援包裝部門 尋找具備以下特質的夥伴: 1.做事細心, 2.有邏輯概念, 3.工作認真, 4.有責任感, 5.善溝通協調, 6.正面思考, 7.情緒管理佳, 8.虛心學習 符合以下能力或經驗: 1.熟一般電腦文書操作 (WORD, EXCEL, OUTLOOK/BARTENDER)"
企業管理優化顧問(台北/台中),鼎新電腦股份有限公司,新北市新店區,經歷不拘,大學,"月薪100,000~190,000元",【實施顧問師】 1.針對各企業客戶進行問題調研、分析、診斷而後提出適當解決規劃方案。 2.依規劃方案搭配系統應用，提供系統模組導入與上線輔導教學，以達到企業管理優化目的。 3.對企業客戶提供管理軟體諮詢服務，解答客戶所涉及產品的相關問題。 工作特性: 1.快速學習不同產業(流通業、製造業、金融業)企業經營管理方式 2.提升自我工作視野、簡報、溝通、表達能力 3.擴展高階人脈 **薪資依學經歷評定(月薪含伙食津貼) **獎金、福利補助項目另計
資訊助理,維新資訊科技股份有限公司,台中市北區,1年以上,高中,"月薪100,000~190,000元",1.文書處理、報表製作。 2.錄製功能操作影片。 3.官網文件、產品文件製作與更新。 4.協助主管處理業務相關之各項行政作業。 5.產品功能測試與客戶服務工作。 6.主管交辦事項之完成。
電商助理,美德向邦股份有限公司,台北市信義區,經歷不拘,大學,"月薪100,000~190,000元",1.Amazon各站點每月對帳文件提供 2.Amazon各站點數據報表製作 3.協助Amazon各站點分析資料收集 4.協助Amazon各站點營運工作，商品上下架、檢查商品、庫存備貨狀態 5.Amazon相關款項支出請款、報帳 6.協助Newegg平台執行 7.協助海外倉執行出貨管理
風控分析專員,五域網絡科技有限公司,台北市中山區,1年以上,大學,"月薪100,000~190,000元",What you'll do / #工作內容： 1. 執行風險評估及預警 2. 檢查欺詐及違規事項 3. 日常遊戲監控 4. 定期製作呈報各類風險分析報告，持續改進風險控管機制 What we need / #希望您是這樣的人 1. 有良好邏輯理解及具備資料分析處理能力 2. 對學習和理解遊戲規則有濃厚的興趣 3. 可長時間專注於分析數據 4. 英文基本溝通能力 其他條件 1. 具備良好的MS Excel的使用經驗
專案經理,皓展資訊股份有限公司,台北市松山區,5年以上,專科,"月薪100,000~190,000元",我們創立於2009年，是一個發展穩健且持續創新的團隊，除了協助政府機關及大型企業開發客製化的雲端應用系統外，近幾年更投入大量資源，自主研發金融業資安管理系統，並與電子業合作研發AI智能監控系統，持續將客戶群延伸至金融業、高科技製造業、大型服務業。 若您相信軟體能創造未來也喜歡堅持誠信、尊重專業、團隊合作的工作環境，誠摯的歡迎您加入我們！ 【工作內容】 1. 專案WBS時程規劃及控管。 2. 需求訪談規劃、執行與需求規格整理。 3. 對外與客戶有效溝通與專案進度報告。 4. 對內與各支援部門協同合作，如期、如質、如預算達成專案目標。 5. 問題追蹤與專案風險管控。 6. 專案文件撰寫。(如:計畫書、規格書、進度報告、結案報告、會議記錄...等)
KA 總經理【BU-Key Account General Manager】,台灣用友資訊軟體有限公司,台北市中山區,5年以上,大學,"月薪100,000~190,000元",1、專項負責跟進，維繫公司大客戶的客戶關係； 2、完成公司指定的大客戶年度經營任務（商務合約，回款，權責）； 3、參與管理公司大客戶交付團隊，協助解決資源問題，推進專案進度； 【Business Unit - Key Account General Manager】 The Business Unit key Account General Manager is responsible for leading the APAC strategy to extend the ERP platform/ Cloud ERP to support business line continued growth. With around 1 million US dollars experience in sales revenue and can boost more corporate opportunities. Success for maintaining our Key Account customer relationship and implementing the business project. The individual person must be able to collaborate with different internal departments also report to Taiwan company's Sr. principal leader person.
PHP 工程師,樂澄科技股份有限公司,台北市信義區,經歷不拘,高中,"月薪100,000~190,000元","工作內容： 1.可依據專案需要，進行系統分析、資料庫設計並可獨立進行開發工作。 2.網站的前後端及相關API 開發與串接。 3.對所開發的系統能維護完善文件 工作要求： 1.熟悉 PHP 且有Web開發經驗, 至少使用過任一種 PHP Framework(Laravel ， CodeIgniter) 2.軟體版本管理經驗 （Git）。 3.能透過Linux 維謢/開發 PHP 網站 4.熟悉MySQL語法，有獨立資料庫作業能力。 5.具備基本前端網頁能力如AJAX。 加分項目： 熟悉分佈式、緩存技術 memcached/redis、並發控制等技術"
行政倉管助理,伊芙美國際美容事業有限公司,台中市南屯區,1年以上,高中,"月薪100,000~190,000元",1.負責倉庫管理，進貨、包貨、出貨。 2.商品進貨驗收、商品儲位安排、盤點。 3.以有條理且易取得的方式儲存擺放倉庫中的貨品項目。 4.定期追蹤複查庫存紀錄與紀錄是否相符、有無損壞，如不符合找出原因。 5.熟悉電腦OFFICE、EXCEL製表報表， 檔案歸檔整理、進銷存系統操作。 6.不定期外出送件、物件寄送。 7.電話接聽、訂餐、環境整潔、訪客過濾。 8.協助處理庶務性行政工作（如：事務機器叫修維護、文具用品採買）。 9.支援其他部門。 10.其他主管交代之事項。 11.具有高度工作熱誠、積極、機靈勤快、邏輯性好、配合度高、細心、責任感。 ------------------------------幸福職場保證------------------------------ 【一、幸福安全保障福利】 1. 健保 2. 勞保 3. 勞退提撥金 【二、安心打拼獎金福利】 1. 生日禮金 2. 三節獎金 3. 年終獎金 4. 婚喪喜慶補助 【三、貼心充電休假制度】 1.週休二日 2.有薪特休/年假 【四、經典專屬員工福利】 1. 不定期下午茶 2. 員工購物超值優惠 3. 員工聚餐 4. 員工春酒 5. 不定期職能訓練(安排參加進修講座)
遊戲軟體測試QA,遊戲雲端科技股份有限公司,台北市中正區,1年以上,專科,"月薪100,000~190,000元",● 負責產品與專案的測試工作。 ● 可準確描述錯誤並重現。 ● 錯誤追蹤，針對已修正的項目進行驗證，管理產品版本。 ● 依據產品規格分析測試需求，制定測試計畫，撰寫與維護測試案例。 ● 參與專案討論，控管產品品質，協助優化使用者體驗。 【條件特質】 ● 能接受重複性質高之工作，具備耐心與責任感，並對品質有嚴苛的要求。 ● 善於溝通，有團隊合作意識。 ● 樂於接觸不同類型的遊戲，分析遊戲或思考遊戲機制與體驗。 ● 熟悉Web除錯工具，有iPhone / Android / Web產品測試經驗者加分。 ● 熟悉至少一門開發或者腳本語言，可製作測試輔助工具者加分。 ● 有建置與維護自動化測試工具經驗者加分。
【系統測試部】系統測試專員,人易科技股份有限公司,台北市內湖區,經歷不拘,大學,"月薪100,000~190,000元",『您要做什麼』 1.系統功能測試 2.系統測試計劃擬定 3.系統教學文件製作 4.其他主管交辦事項 『我們希望您』 1.具細心及耐心能主動發現問題。 2.負責任、配合度高、自學能力強。 3.願意學習及挑戰。 4.資訊相關科系畢業佳
程式設計師,輔翼科技股份有限公司,台北市內湖區,經歷不拘,專科,"月薪100,000~190,000元",程式設計師
Field Application Engineer_應用工程師,美商泰瑞達有限公司台灣分公司,新竹縣竹北市,經歷不拘,大學,"月薪100,000~190,000元","1. IC test program development. 2. Provides technical expertise and value to customers. 3. Provides technical support in sales presentations, product demonstrations. 4. Provides answers to customer inquiries concerning system software and applications. 5. Provides software/hardware development and consultation. 6. May build application solutions based on customer requirements enhancing the product performance allowing it to become the platform of choice (design-ins). *本公司待遇優,並提供完整培訓計畫,歡迎有半導體測試開發經驗工程師加入本公司行列!"
急徵-資訊人員,高賢企業有限公司,高雄市三民區,1年以上,專科,"月薪100,000~190,000元",1.門店與總部電腦軟硬體設備維護與故障排除。 2.內部管理相關系統QA對應、新功能測試等維護管理。 3.資訊廠商、跨單位之業務溝通協調與對應。 4.資訊設備資產管理及盤點。 5. 機房設備管理及維護。 6. 網路環境相關設備安裝設定與 Firewall/ Switch/ VLAN/ WiFi/ VM/ DNS/ DHCP/ NAS…等管理及維護。 7. 系統和資料庫整機備份、還原維護、控管及問題排除。 8. 資訊設備請採購。 9. 其他資訊相關專案與主管交辦事項。
區塊鏈線上文字客服人員,騰飛達有限公司,台北市中山區,1年以上,專科,"月薪100,000~190,000元",1. 即時解決線上客戶問題並記錄追蹤回覆。 2. 協助客戶線上系統操作並提正確資訊。 3. 協助技術支援文檔更新維護。 4. 系統及產品測試。 5. 其他主管交辦事項。 6. 值班津貼另計。 7. 周末會需排班or輪班。(國定假日排休)
投資開發業務人員(3),國泰創業投資股份有限公司,台北市信義區,3年以上,大學,"月薪100,000~190,000元",1.產業趨勢分析、投資案源開發、投資評估及盡職調查作業。 2.投資後管理、企業經營分析與企業診斷。 3.投資處分建議、投資交易規劃。
網路客服專員,鉅豐資訊有限公司,新北市中和區,經歷不拘,專科,"月薪100,000~190,000元","網路客服是代表公司與客戶溝通的重要管道與專業代表，更是客戶滿意度的關鍵指標。 我們要招募有熱忱的網路客服專業人員，透過各種創新網路通訊工具與軟體介面, 進行線上即時互動/協助/指導等服務，解決玩家會員在網路/線上遊戲中所遭遇到的問題，提升線上交易的服務品質與提升網路客戶滿意度及黏著度。 除了客服專業工作之外，如果您有學習熱忱，我們更願意培養你為積極的網路行銷、專業網路客服、客戶經營管理、客戶追蹤管理、客戶優質化管理的專業人員，學習目前最夯的網路行銷技巧，善用網路客戶激勵與服務，創造客戶黏卓度與服務滿意度，績效優者更可獲績效獎金！"
銀行軟體測試工程師(維運部),普鴻資訊股份有限公司,台北市松山區,2年以上,高中,"月薪100,000~190,000元",工作內容說明： 1. 可撰寫測試文件，如：案例、報告。 2. 熟悉各種測試方式：整合測試、自動化測試、壓力測試等。 3. 測試系統範疇：網站、APP、API、ADK、資料庫等。 4. 熟悉金融業體系和專案類型。 5. 頭腦靈活配合度高。 6. 有程式背景加分。 7. 具備2年以上測試經驗。 8. 具金融產業經驗加分。 9. 配合專案需求至客戶端駐點服務。 10. 具備良好工作態度、遵守團隊紀律，能夠團隊合作。 ●對數位金融有興趣歡迎加入我們●
資訊工程師,威釩資訊股份有限公司,台北市中山區,經歷不拘,專科,"月薪100,000~190,000元",一、企業客戶資訊環境維護。 二、企業資訊環境規劃。 三、使用者電腦問題障礙排除。 四、網路設備障礙排除。 五、例行性維護。 六、產品規劃。 七、完善團隊制度。
,,None,None,None,"月薪100,000~190,000元",None
,,None,None,None,"月薪100,000~190,000元",None
AI辨識演算法開發兼職人員(可遠距上班),恆準定位股份有限公司,新竹市,經歷不拘,大學,時薪160~250元,工作內容主要為 *AI影像處理及深度學習的演算法架構設計、分析與開發 *機器人SLAM技術開發 *嵌入式影像處理演算法開發 上班時間(白天)可自行安排 歡迎對AI辨識、深度學習有興趣的夥伴共同加入 歡迎在學學生工讀實習
系統客服/專案助理,好學教育有限公司,台北市士林區,經歷不拘,大學,時薪160~250元,# 系統客服： - 協助排除客戶操作問題 - 回報並紀錄系統Bug問題 - 追蹤與回報原廠處理進度 # 專案執行與協助： - 新系統功能測試與回報 - 系統功能項目研發進度追蹤 - 需求紀錄與整理 - 會議紀錄與資料整理 # 協助部門其他事務執行與主管交辦事項 條件要求 # 細心且善於溝通協調 # 具有良好清晰的邏輯能力 # 系統操作與學習能力 # 資料統整能力 # 有專案經驗為加分項
投資開發業務人員(2),國泰創業投資股份有限公司,台北市信義區,3年以上,碩士,時薪160~250元,1.投資案蒐集、案源開發、投資案評估作業。 2.投資後管理、企業經營分析與企業診斷。 3.投資處分建議、投資交易規劃。 4.北美及東南亞智慧醫療相關市場研究。
專案工程師,鎧應科技股份有限公司,台北市中山區,經歷不拘,大學,時薪160~250元,"【工作內容】 1. 協助系統安裝, 設定, 測試 2. 確保系統與服務的上線和穩定性 3. 提供使用者 技術支援和解決初步問題。 4. 客製化需求提供系統分析與執行 5. 例行事務處理 【需求】 (1) 前端網頁語言 HTML5, CSS, Javascript (2) 熟悉 C/C++ 開發 鎧應科技致力於多媒體數位電子看板（Digital Signage）產品與服務的開發與行銷，針對家戶外數位媒體（out-of-home digital media）網絡的需求，開發一系列專業產品，包括：數位看板播放器、中央控管伺服器、與各式管理與應用軟體。數位看板（Digital Signage），又稱電子看板、數位電子看板、多媒體看板、電子廣告看板等，是一個多媒體或甚至互動的溝通平台，能快速傳遞有效資訊給各商業應用場合的目標客戶群（收視群），可廣泛應用於企業、學校、美術館、零售商場、飯店、政府機構、醫院、銀行、交通運輸等行業。 我們有全球化的市場和通路，我們有優秀的策略，我們更致力於新一代多媒體建置，在新世代的交接期，加入我們，與鎧應一同發展人生的下一階段！"
foodomo 專案管理師PM,foodomo_專聯科技股份有限公司,台北市信義區,3年以上,專科,時薪160~250元,1.公司主管交辦事項之執行與追蹤 。 2.進行跨部門溝通協調及行政相關作業。 3.專案規劃、執行與追蹤檢討，確保專案符合時程規劃，管控專案品質。 4.預估各專案成本，並擬定預算。 5.申請及執行政府科專計畫。 6.具備簡報製作及表達溝通。
初階-軟體工程師 (技術),PChome Online_網路家庭國際資訊(股)公司,台北市大安區,經歷不拘,專科,時薪160~250元,PChome強力徵求志同道合的IT夥伴！ 想要成為專業的IT人才嗎？ 加入我們的團隊可以了解電商操作、前、後台營運及數據分析並且累積實戰經驗。 我們將經過初步面試後，將安排您進入合適之團隊進行專業技能養成。 只要您具備活潑熱情、主動積極、持續學習的特質，您就是我們要找的人才！ 歡迎無經驗之應屆畢業生、工作經驗3年以內的職場新鮮人或是轉職人員，參與我們的行列！
軟韌體研發工程師/主管(台北總公司),和椿科技股份有限公司,台北市內湖區,5年以上,專科,時薪160~250元,【部門介紹】 和椿整合部是負責自動化設備的控制器產品的設計與開發，控制器最主要控制裝置(Device)為伺服/步進馬達與數位I/O，產品的型式為電腦版卡，以電腦為平台插上控制卡來控制前述自動化裝置，另外也有部分控制器是使用SoC所做成的微電腦系統來控制前述自動化裝置。目前和椿的控制器獲得國內不少指標的自動化設備大廠採用，在台灣PC-Based控制器/卡的市場中佔有不錯的銷售實績 【主要工作內容】 1. 研發專案管理 2. 研發計畫規劃
專案經理(Project Manager),雲飛傳媒有限公司,台北市信義區,2年以上,大學,時薪160~250元,工作內容 1. 負責軟體專案執行與管理，須具備相關經驗及能力。 2. 負責售前(Pre-sales)技術支援，與客戶談定專案內容與範圍。 3. 具備撰寫軟體專案建議書/簡報文件之能力及經驗。 4. 具備簡報之能力及經驗。
資安工程師(台南),鼎新電腦股份有限公司,台南市中西區,1年以上,專科,時薪160~250元,1.服務各大企業，以線上處理或需外勤提供協助。 2.處理伺服器、虛擬化環境建置與資訊設備管理維護及問題排除 3.針對網路相關設備(如:Router、Switch、Wireless、Firewall...等)進行 安裝、設定、測試與維護。 4.可學習最新的資訊設備和資訊系統維護技術。 **薪資會依學經歷評定(月薪含伙食津貼) **獎金、福利補助項目另計
【集團】資訊主管(經/副理),同致電子企業股份有限公司,桃園市蘆竹區,10年以上,大學,時薪160~250元,1. 資訊服務政策之擬定與執行 2. 資訊工作計劃及目標擬定 3. 資訊系統評估、規劃、優化與建置 4. 資訊設備規劃、監控、管制與維護 5. 資訊網路安全建立、預防及災害恢復的方案制定 6. 資訊類資產及軟體管理 7. 專案規劃、執行、進度追蹤等管理相關事宜 8. 部門日常維運管理、跨部門溝通與協調 9. 軟體系統維運與開發 10. 配合總部資訊政策執行
Machine Learning Engineer 機器學習工程師 (研替可),宇匯知識科技股份有限公司,台北市松山區,經歷不拘,大學,時薪160~250元,"【公司簡介】 宇匯知識科技是一家數位網路廣告商，宇匯四大主要服務為Bridgewell DSP、電商成效優化方案、購有錢與酷比聯播網。對於數位廣告系統來說為了提供高品質的服務，在工程面上，我們必須克服以下挑戰 : - 處理超過 20k QPS 的流量價值預估請求，而且每筆請求必須在 100 ms 內處理完畢，挑戰模型的 prediction 速度和準確度 - 每日超過 5T 的資料處理需求，挑戰模型的 training 速度 - 確保服務全年不間斷，需要即時發現模型或工程問題並迅速診斷及修正 而這些嚴峻的考驗，也提供了絕佳的試煉場，讓工程師們得以精進技術 【About you】 我們希望你是擁有以下特質的人： - 積極負責：積極完成工作，並把水準做到最好 - 主動貢獻：對於不屬於自己負責的問題也願意思考與提出解法，並跨出一步協助大家改善 - 持續學習：喜歡新事物，不會輕易滿於現況，勇於突破舒適圈 - 喜歡團隊合作：願意主動與各部門同事溝通，一同解決問題 - 要求品質：對工程品質有所堅持，以產出高品質的code為己任 - 關注產品價值：除了關心手邊工作外，能夠進一步從產品的角度思考如何提升產品價值 【Job description】 1. 開發與維運廣告出價與推薦系統 2. 開發、改善與維運 ML模型 3. 資料分析 【必要條件】 - 熟悉 ML 相關知識 - 熟悉任一程式語言，例如：C# / python / Java - Git 【加分條件】 - 熟悉任一 ML open source 工具，如 tensorflow, pytorch - 曾參與ML相關研究、競賽或發表論文 - 熟悉推薦相關演算法 - 曾參與opensource 專案開發 - 熟悉數位廣告 - CI/CD - Testing - Spark 【我們相信，你會想加入宇匯的 3 個理由】 1. 我的產品由我塑形，可以與產品負責人密切合作共同改善產品，而不是單純聽命實作 2. 注重工作生活平衡，正常工時不加班 3. 風氣自由，有心想改善的地方都可以動手改善，發揮空間大"
產品經理 - 負責電商整體統籌規劃－UrMart | 早餐吃麥片,早餐吃麥片_饌元有限公司,台北市南港區,2年以上,專科,時薪160~250元,[工作內容] 協助產品根據商業變化進而高速迭代，使其不斷進步符合公司策略 了解和挖掘用戶背後需求，妥善評估現況後給出效益最佳解決方案或建議。 跨部門如工程、商開、行銷、設計和客服等合作，安排內部需求開發提升營運效率。 統整訪查專案需求，擬定開發所需規格，降低開發所需成本，超越需求者的期待。 追蹤所有執行項目，適時調整分配優先度、權重和狀態，確保項目在時限內完成。 確保專案產出品質和發佈內容完整性。 追蹤開發項目，並檢討優化持續迭代服務。 熟悉既有商業執行和服務操作邏輯，收到問題回報時可在最短的時間內做出回應。 【加分】 對電商與網路應用有熱情與獨立思考能力，需展現平時涉獵產業資訊與看法 熟悉 Jira、Confluence 專案管理軟體操作和設定 擁有 2 年以上 build web / app 產品的經驗 執行過跨前後端的大型電商產品和功能 有技術背景尤佳 總是想要挑戰自我，願意嘗試在快節奏的公司工作 「UrMart團隊要求」 1.正直、會為用戶講話 2.堅定、有毅力、講求不斷進步 3.重視團隊合作，不拿翹 4.精準且數據說話 5.聰明、好奇，可提出和別人不同的 insight 6.負責，不推卸，願意承認錯誤 關注我們的LinkedIn ，認識更多面向的我們 : https://tw.linkedin.com/company/morningshop
Field Algorithms,諾威量測設備股份有限公司,新竹市,經歷不拘,碩士,時薪160~250元,"Role & Responsibilities: • What will you do as a field algorithm engineer? o Perform R&D on metrology using multiple tools like simulations and extensive analysis of data. o Work under headquarters’ R&D algorithms and closely with application organizations. o Algorithm and application development in the areas of machine learning and physical modeling. o Write and present detailed reports and reviews. o Write specifications, design documents, presentations. o Be expert on Nova tools – MARS, NovaFit, and the metrology tools. o Investigate new tools and features adopted by advanced customers for advanced nodes. • What will make you succeed in the role? o The capability to thrive in a multi-disciplinary environment. o Excellent communication skills and team player. o Be initiative and able to work independently. If you are interested of this opportunity then please send your CV via below link: https://www.novami.com/comeetitem/research-development/fae15/?coref=1.10.sAD_E19"
軟體助理工程師,勝圖國際企業股份有限公司,桃園市楊梅區,經歷不拘,大學,時薪160~250元,1. 軟體開發與維護。 2. 了解基本程式語言。 3. 執行主管交辦事項。 4. 願接受公司系列性、計畫性等培訓。 5. 主管交辦事項。 ※薪資依學歷及實際經歷核定 ※使用工具請參考其他條件
